# packages in environment at /data/djs217/miniconda3/envs/trycycler_env:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
any2fasta                 0.4.2                hdfd78af_3    bioconda
bcftools                  1.21                 h8b25389_0    bioconda
binutils_impl_linux-64    2.44                 h4bf12b8_0    conda-forge
biopython                 1.85            py310ha75aee5_1    conda-forge
brotli-python             1.1.0           py310hf71b8c6_3    conda-forge
bwa                       0.7.18               he4a0461_1    bioconda
bwidget                   1.10.1               ha770c72_1    conda-forge
bzip2                     1.0.8                h4bc722e_7    conda-forge
c-ares                    1.34.5               hb9d3cd8_0    conda-forge
ca-certificates           2025.7.9             hbd8a1cb_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
cairo                     1.18.0               h3faef2a_0    conda-forge
capnproto                 1.0.2                h2b92303_1    conda-forge
certifi                   2025.6.15          pyhd8ed1ab_0    conda-forge
cffi                      1.17.1          py310h8deb56e_0    conda-forge
charset-normalizer        3.4.2              pyhd8ed1ab_0    conda-forge
click                     8.2.1              pyh707e725_0    conda-forge
cmake                     3.29.4               h91dbaaa_0    conda-forge
colorama                  0.4.6              pyhd8ed1ab_1    conda-forge
contextlib2               21.6.0             pyhd8ed1ab_1    conda-forge
cpython                   3.10.18         py310hd8ed1ab_0    conda-forge
curl                      8.8.0                he654da7_1    conda-forge
eigen                     3.2                           3    bioconda
expat                     2.7.0                h5888daf_0    conda-forge
filelock                  3.18.0             pyhd8ed1ab_0    conda-forge
flye                      2.9.5           py310ha025fb0_1    bioconda
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 h77eed37_3    conda-forge
fontconfig                2.14.2               h14ed4e7_0    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
freebayes                 1.3.6                hb0f3ef8_7    bioconda
freetype                  2.12.1               h267a509_2    conda-forge
fribidi                   1.0.10               h36c2ea0_0    conda-forge
fsspec                    2025.5.1           pyhd8ed1ab_0    conda-forge
gcc_impl_linux-64         15.1.0               h4393ad2_3    conda-forge
gfortran_impl_linux-64    15.1.0               h3b9cdf2_3    conda-forge
glpk                      5.0                  h445213a_0    conda-forge
gmp                       6.3.0                hac33072_2    conda-forge
gmpy2                     2.2.1           py310he8512ff_0    conda-forge
graphite2                 1.3.14               h5888daf_0    conda-forge
grpcio                    1.62.2          py310h1b8f574_0    conda-forge
gsl                       2.7                  he838d99_0    conda-forge
gxx_impl_linux-64         15.1.0               h6a1bac1_3    conda-forge
h2                        4.2.0              pyhd8ed1ab_0    conda-forge
h5py                      3.13.0          nompi_py310h60e0fe6_100    conda-forge
harfbuzz                  9.0.0                hfac3d4d_0    conda-forge
hdf5                      1.14.3          nompi_hdf9ad27_105    conda-forge
hpack                     4.1.0              pyhd8ed1ab_0    conda-forge
htslib                    1.21                 h5efdd21_0    bioconda
hyperframe                6.1.0              pyhd8ed1ab_0    conda-forge
icu                       73.2                 h59595ed_0    conda-forge
idna                      3.10               pyhd8ed1ab_1    conda-forge
